YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
85 09 18 13 008 04.9 06.6 01.40 06.70 05.40 999 1016.2  07.4 999.0 999.0 99.0
85 09 18 14 325 02.9 04.2 01.40 07.10 05.50 999 1016.2  06.9 999.0 999.0 99.0
85 09 18 15 000 04.2 05.3 01.50 07.70 05.80 999 1016.2  07.1 999.0 999.0 99.0
85 09 18 16 350 04.5 05.8 01.80 08.30 06.30 999 1016.0  07.2 999.0 999.0 99.0
85 09 18 17 337 04.8 06.4 02.20 09.10 07.10 999 1016.0  07.1 999.0 999.0 99.0
85 09 18 18 329 05.0 06.6 02.50 10.00 07.50 999 1016.1  07.1 999.0 999.0 99.0
85 09 18 19 332 06.2 09.6 02.40 10.00 07.50 999 1016.4  05.9 999.0 999.0 99.0
85 09 18 20 003 05.4 07.0 02.60 11.10 07.50 999 1016.6  06.8 999.0 999.0 99.0
85 09 18 21 355 04.9 07.4 02.70 10.00 07.70 999 1016.9  06.8 999.0 999.0 99.0
85 09 18 22 333 06.3 08.2 03.10 11.10 08.20 999 1016.9  07.1 999.0 999.0 99.0
85 09 18 23 339 06.0 08.2 03.00 11.10 07.90 999 1017.3  06.4 999.0 999.0 99.0
85 09 19 00 323 06.6 08.8 03.10 10.00 07.50 999 1017.4  06.9 999.0 999.0 99.0
85 09 19 01 319 05.8 07.7 03.20 11.10 08.00 999 1017.5  06.9 999.0 999.0 99.0
85 09 19 02 314 05.8 07.7 03.20 11.10 08.00 999 1017.5  06.9 999.0 999.0 99.0
85 09 19 03 306 05.3 07.8 03.00 11.10 08.00 999 1017.4  07.0 999.0 999.0 99.0
85 09 19 04 300 05.0 06.7 02.60 11.10 07.70 999 1017.6  06.0 999.0 999.0 99.0
85 09 19 05 346 05.0 06.5 02.60 11.10 07.40 999 1017.7  06.4 999.0 999.0 99.0
85 09 19 06 299 05.9 07.6 02.60 11.10 07.50 999 1017.9  06.9 999.0 999.0 99.0
